Semaine,Count
2022-12-26,20
2023-01-02,134
2023-01-09,136
2023-01-16,133
2023-01-23,137
2023-01-30,134
2023-02-06,136
2023-02-13,133
2023-02-20,130
2023-02-27,130
2023-03-06,135
2023-03-13,137
2023-03-20,136
2023-03-27,134
2023-04-03,132
2023-04-10,138
2023-04-17,114
