mots,fréquence d'apparition depuis début 2023
"['désopiler', 'grotesque', 'x000d', 'idéologie', 'lutte', 'classesappelez', 'vouloir', 'voir', 'écologique']",1
"['allemagne', 'rater', 'écologique', 'reconnaître', 'exploiter', 'charbon', 'taille', 'pari', 'cesser']",1
"['dire', 'kissbanker', 'x000d', 'loge', 'ruedeparadis', 'rue', 'zerodechet', 'paris10x000d', 'gêne', 'proposer', 'financer', 'projet', 'écologique', 'stres', 'affichag', 'sauvage', 'qq', 'mètre', 'bureau', 'x000d', 'greenwashingx000d', 'vasalea', 'facturex000d', 'dmr']",1
"['trader', 'youtub', 'vendre', 'rêv', 'vidéo', 'ignorant', 'nom', 'écologique', 'formation', 'ouvrir', 'cagnotte']",1
"['christophebechu', 'écologique', 'fera', 'français', 'okqu', 'faitesvous', 'majorité', 'français', 'légitime', 'colèr', 'inaction', 'climatique', 'fauxsemblant', 'cf', 'parking', 'angers', 'modèle', 'parking', 'sete', 'ouestfrancefrenvironnemen']",1
"['détruire', 'vie', 'éolien', '500', 'm', 'habitation', 'campagne', 'vue', 'aimez', 'beauté', 'paysage', 'français', 'dire', 'écologique', 'faux', 'massacre', 'gâchi']",1
"['président', 'républiqu', 'retourner', 'front', 'républicain', 'castor', 'x000d', 'président', 'mak', 'planet', 'great', 'ts', 'niveau', 'tout', 'force', 'écologiquex000d', 'fr', 'pénible']",1
"['info', 'lsqredaction', 'soir', 'ani', 'dialogue', 'social', 'écologique', 'construire', 'organisation', 'syndical', 'patronal', 'x000d', 'accord', 'soumettre', 'signature', 'cfdtcftc', 'fo', 'exprimer', 'avis', 'positif']",1
"['pascal', 'canfin', 'rentrer', 'dur', 'écologique', 'lopinionfreconomiepascal']",1
"['lanimosité', 'énergie', 'renouvelable', 'écologique', 'accomplir', 'assurer', 'borisvallau', 'x000d', 'legrandjury', 'la26']",1
"['article', 'alternativer', 'économique', 'pierre', 'charbonnier', 'écologique', 'menacer', 'liberté', 'mauvais', 'foi', 'alternativeseconomiquesfr']",1
"['écologique', 'destruction', 'créateur', 'epochtimesfrtransitioneco', 'epochtimesfr']",1
"['déchet', 'gérer', 'sousentendu', 'loin', 'oeil', 'simplement', 'assimiler', 'secteur', 'pratique', 'douteux', 'x000d', 'x000d', 'secteur', 'écologique', 'évoluer', 'vite', 'lnkdine2zmxanq']",1
"['generationsmvt', 'invitation', 'soir', 'x000d', 'x000d', 'nupe', 'seul', 'proposer', 'écologique', 'crédible', 'projet', 'pouvoir', 'régresser', 'rnx000d', 'x000d', 'gouverner', 'ensembl', 'demain', 'objectif', 'obligation']",1
"['web3', 'lendroit', 'réfléchir', 'contrôle', 'donné', 'dirai', 'activiste', 'web3', 'mal', 'projet', 'permettre', 'écologique', 'évident', 'croire', 'mettre', 'année']",1
"['écologique', 'foutu', 'terre', 'nucleair', 'idéologue', 'dangereux', 'incompétent']",1
"['soir', 'ministère', 'écologique', 'dénoncer', 'projet', 'etat', 'remplacer', 'tour', 'inse', 'côté', 'lassociation', 'incmalakoff', 'projet', 'mortifère', 'ville', 'malakoff', 'aberrer', 'écologiquement']",1
"['réduction', 'ge', 'laérien', 'dispose', 'dautre', 'levier', 'simple', 'concurrence', 'train', 'régulation', 'taxation', 'nombre', 'vol', 'autoriser', 'mythe', 'concurrence', 'régulateur', 'vivre', 'cadre', 'ecologiqu']",1
"['falloir', 'arrêter', 'reprocher', 'politique', 'manquer', 'courage', 'décision', 'impopulairesx000d', 'x000d', 'arriver', 'pouvoir', 'prôner', 'raison', 'écologique', 'impopulaire', 'pouvoir', 'regretter', 'amèrement', 'posture', 'actuel']",1
"['trafic', 'aérien', 'diminuer', 'progression', 'partout', 'explose', 'asiex000d', 'x000d', 'cas', 'conclure', 'écologique', 'exister']",1
"['ensuite', 'heure', 'sup', 'comprisx000d', 'pb', 'manqu', 'candidat', 'revaloriser', 'léducationx000d', 'centrale', 'nucléaire', 'écologiquex000d', 'falloir', 'couper', 'service']",1
"['capacité', 'production', 'nécessiter', 'marché', 'remplie', 'entreprise', 'organiser', 'efficacement', 'écologique', 'donner', 'quune', 'entité', 'contrôle', 'transport', 'usine']",1
"['regardez', 'thread', 'ré', 'industrialiser', 'usine', 'insecte', 'x000d', 'x000d', 'perdre', 'alstom', 'récupère', 'usine', 'insect', 'génie', 'français', 'x000d', 'x000d', 'couvert', 'écologique', 'manger', 'insecte']",1
"['attend', 'x000d', 'x000d', 'solution', 'ministre', 'écologique', 'x000d', 'bordel', 'mec', 'dire', 'réchauffement', 'climatique', 'exister', 'vrai', 'foutre', 'creuser', 'silence']",1
"['arrêter', 'penser', 'leau', 'temp', 'mondex000d', 'x000d', 'christophe', 'béchu', 'ministre', 'écologique', 'les4v', 'christophebechu', 'sécheresse']",1
"['écologique', 'escroquerie', 'provoquer', 'catastrophe', 'politique', 'économique', 'social']",1
"['emploi', 'subventionner', 'temps', 'partiel', 'autoentrepreneur', 'précairesx000d', 'france', 'décarbonner', 'tax', 'carbon', 'effondrement', 'consommationx000d', 'chinois', 'embargo', 'métal', 'finie', 'larnaqu', 'écologique']",1
"['lire', 'phase', 'noir', 'écologique', 'dénonce', 'arnaqu', 'total', 'éolien', 'pollution', 'guerre', 'civil', 'afrique', 'recyclable', 'fonctionner', 'besoin', 'charbon', 'allemand', 'polluant', 'fonctionner', 'hont', 'absolu']",1
"['thinkerview', 'lon', 'apprendre', 'ministère', 'écologique', 'appel', 'ecoparc', '20', 'ha', 'menacer', 'terre', 'agricole', 'x000d', 'x000d', 'tbc']",1
"['sordide', 'classement', 'établir', 'ministère', 'écologique', 'autoriser', 'chasseur', 'piégeur', 'détruire', 'animal', 'quota', 'cruauté', 'cpt', 'rôle', 'essentiel', 'bénéfique', 'espèce', 'ds', 'écosystème']",1
"['visite', 'olivier', 'klein', 'bobigny', 'ministr', 'déléguer', 'auprès', 'ministre', 'écologique', 'annuler', 'dernier', 'minute', 'sécurité', 'pouvoir', 'assurer', 'ministre', 'carol', 'grandjean', 'également', 'annuler', 'visite', 'toulous', 'raison', 'sécurité']",1
"['imposer', 'banque', 'financer', 'écologique', 'développer', 'système', 'bancaire', 'financier', 'public', 'fantasmer', 'financement', 'banqu', 'central', 'perdre', 'temps']",1
"['décider', 'objectif', 'terme', 'véhicule', 'électrique', 'organiser', 'énergetiqu', 'cestàdire', 'remplacer', 'central', 'atomique', 'fermée', 'central', 'incompétent', 'bandit']",1
"['croire', 'agender', 'sect', 'grand', 'reset', 'eau', 'crise', 'pandémique', 'opportunité', 'entrer', 'monde', 'carrémer', 'échouer', 'voir', 'étape', 'crise', 'climatique', 'croire', 'rater']",1
"['comprendre', 'sert', 'écologique', 'réaction', 'rejet', 'politique', 'dire', 'mentir', 'pipedvideo3a0ih11cts0']",1
"['lallemagn', 'débile', 'prouver', 'linutilité', 'éolien', 'revenir', 'allemagne', 'argumenter', 'contredire', 'rte', 'arriver', 'remettezvou', 'question']",1
['nytimescom20230103busin'],1
"['diviser', 'gigantesque', 'dividende', 'verse', 'vi', 'actionnaire', 'totalenergier', 'investir', 'energetiqueon', 'decupler', 'economie', 'rejette', 'atmosphere']",1
"['discour', 'mensonge', 'coup', 'investir', 'santé', 'léducation', 'compenser', 'impôt', 'production', 'plateau', 'cause', 'retraite', 'fonctionnaire']",1
"['ministre', 'devoir', 'expliquer', 'nucléaire', 'lavenir', 'payscest', 'soupless', 'plan', 'idéologique', 'contorsionnisme', 'religieux', 'coin', 'expliquer', 'prophète', 'imposteur']",1
"['kwh', 'borne', 'charge', 'métropole', 'trimestre', 'savoir', 'kwh', 'domicil', 'maison', 'nutiliserer', 'borne', 'plain', 'immeuble', 'racketter', 'borne']",1
