Content,Clean_Tweet,Date
"Transition écologique et jeux Olympiques, il y a quelque chose qui ne tourne pas rond dans le discours d'Emmanuel Macron.","['transition', 'écologique', 'jeu', 'olympique', 'chose', 'tourn', 'rond', 'discour', 'demmanuel', 'macron']",2023-01-01
"26/34_x000D_
mais il implique une profonde transformation sociétale et une repriorisation des investissements. La transition écologique vers une société décarbonée et résiliente ne peut marcher qu’avec 2 jambes :","['2634x000d', 'impliquer', 'profond', 'transformation', 'sociétal', 'repriorisation', 'investissement', 'transition', 'écologique', 'société', 'décarboner', 'résilient', 'marcher', 'jambe']",2023-01-02
"Pas besoin de ré-expliquer, il a été très clair en septembre dernier ; faire des économies sur les retraites pour financer d’autres réformes à venir sur l’école, la santé, la transition écologique…_x000D_
En somme faire porter les efforts à venir aux travailleurs.","['besoin', 'réexpliquer', 'clair', 'septembr', 'économie', 'retraite', 'financer', 'réforme', 'venir', 'école', 'santé', 'transition', 'écologique', 'x000d', 'somme', 'porter', 'effort', 'venir', 'travailleur']",2023-01-02
"🇫🇷 Visite officielle _x000D_
Pierre Ory @Prefet49 a accueilli  @christopheBechu, Ministre de la Transition écologique et de la Cohésion des territoires à Angers ce soir, à l'occasion de la cérémonie des vœux du Maire @JM_Verchere aux Angevins, au centre des congrès.","['visite', 'officiel', 'x000d', 'pierre', 'ory', 'prefet49', 'accueillir', 'christophebechu', 'ministre', 'transition', 'écologique', 'cohésion', 'territoire', 'angers', 'soir', 'loccasion', 'cérémonie', 'vœux', 'maire', 'jmverchere', 'angevin', 'centre', 'congrès']",2023-01-02
Cynisme et irresponsabilité. Le ministre de la transition #écologique évoque l’#économie #circulaire et la #biodiversité en faisant de la pub pour Mc Do. Envie d’aller en démonter un ! La malbouffe tue. #climat #vivant #santé,"['cynisme', 'irresponsabilité', 'ministre', 'transition', 'écologique', 'évoqu', 'économie', 'circulaire', 'biodiversité', 'pub', 'mc', 'envie', 'aller', 'démonter', 'malbouff', 'tue', 'climat', 'vivant', 'santé']",2023-01-02
"La vaisselle jetable dans les fast-foods, c'est fini !  Le ministre de la Transition écologique était ce lundi au McDo du Mans pour constater le changement 🍔🥛 @ChristopheBechu @Ecologie_Gouv @BCouillard33 @McDonaldsFrance_x000D_
l.ouest-france.fr/WMc","['vaissell', 'jetable', 'fastfoods', 'finir', 'ministre', 'transition', 'écologique', 'lundi', 'mcdo', 'mans', 'constater', 'changement', 'christophebechu', 'ecologiegouv', 'bcouillard33', 'mcdonaldsfrancex000d', 'louestfrancefrwmc']",2023-01-02
Actu-Environnement élargit son offre éditoriale #transition #écologique actu-environnement.com/ae/ne…,"['actuenvironnement', 'élargir', 'offrir', 'éditorial', 'transition', 'écologique', 'actuenvironnementcomaen']",2023-01-02
"Au contraire, les services publics participent à la fois à la justice sociale ET à la transition écologique. Les classes modestes et moyennes habitant en ville sont sans doute celles qui bénéficient le plus de services gratuits ou à tarifs faibles (inférieurs au coût réel) !","['contraire', 'service', 'public', 'participer', 'justice', 'social', 'transition', 'écologique', 'classe', 'modeste', 'moyen', 'habiter', 'ville', 'doute', 'bénéficier', 'service', 'gratuit', 'tarif', 'faible', 'inférieur', 'coût', 'réel']",2023-01-02
Transition écologique des bâtiments tertiaires: Spie se positionne sur un marché à plusieurs milliards d'euros dlvr.it/SgGzbv,"['transition', 'écologique', 'bâtiment', 'tertiaire', 'spi', 'positionn', 'marché', 'milliard', 'deuro', 'dlvritsggzbv']",2023-01-02
"Lundi 02 janvier 2023  Depuis le 1er janvier 2023, les enseignes de restauration rapide ont l’obligation d’utiliser de la vaisselle lavable. Ce lundi 2 janvier 2023, le ministre de la Transition écologique Christophe Béchu a constaté le changement... lemans.maville.com/actu/actu…","['lundi', 'janvier', 'premier', 'janvier', 'enseigne', 'restauration', 'rapide', 'obligation', 'utiliser', 'vaissell', 'lavable', 'lundi', 'janvier', 'ministre', 'transition', 'écologique', 'christophe', 'béchu', 'constater', 'changement', 'lemansmavillecomactuactu']",2023-01-02
